Resultados de SVM con validacion cruzada (5 folds):

C=10, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.09942691338717206, 'accuracy': 0.4311038961038961, 'precision': 0.4227577200407002, 'recall': 0.4311038961038961, 'f1': 0.3914222842234135}, tiempo_total=0.20 segundos

C=10, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.06635845467774767, 'accuracy': 0.4165584415584416, 'precision': 0.4188922909509977, 'recall': 0.4165584415584416, 'f1': 0.35525270180492463}, tiempo_total=0.22 segundos

C=10, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.05378830010513491, 'accuracy': 0.412987012987013, 'precision': 0.409096994792647, 'recall': 0.412987012987013, 'f1': 0.34527190957190956}, tiempo_total=0.22 segundos

C=10, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.037674986510775235, 'accuracy': 0.402077922077922, 'precision': 0.3842162419757239, 'recall': 0.402077922077922, 'f1': 0.3208016217161401}, tiempo_total=0.21 segundos

C=10, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.23386560009255372, 'accuracy': 0.48194805194805196, 'precision': 0.4936312233221324, 'recall': 0.48194805194805196, 'f1': 0.48456664216997103}, tiempo_total=0.23 segundos

C=10, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.27971174735329785, 'accuracy': 0.5252597402597402, 'precision': 0.5188306278701535, 'recall': 0.5252597402597402, 'f1': 0.5136579205851373}, tiempo_total=0.19 segundos

C=10, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.1922275464510105, 'accuracy': 0.4745454545454545, 'precision': 0.46857257859155393, 'recall': 0.4745454545454545, 'f1': 0.4535374441507313}, tiempo_total=0.19 segundos

C=10, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.13591878702120969, 'accuracy': 0.4562337662337662, 'precision': 0.44304266665515274, 'recall': 0.4562337662337662, 'f1': 0.4154261414924025}, tiempo_total=0.20 segundos

