Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=None, solver=newton-cg --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=1, penalty=l1, solver=liblinear --> {'cohen_kappa': 0.657749797380853, 'accuracy': 0.8292682926829269, 'precision': 0.8319273789619801, 'recall': 0.8292682926829269, 'f1': 0.8289857714384204, 'roc_auc': 0.8289888346628906}, tiempo_total=0.11segundos

C=1, penalty=l1, solver=saga --> {'cohen_kappa': 0.6626805281107595, 'accuracy': 0.8317073170731707, 'precision': 0.8346612040171077, 'recall': 0.8317073170731707, 'f1': 0.8314068367858465, 'roc_auc': 0.8315208859449419}, tiempo_total=0.13segundos

C=1, penalty=l2, solver=lbfgs --> {'cohen_kappa': 0.6602248332598553, 'accuracy': 0.8304878048780487, 'precision': 0.8333587040443169, 'recall': 0.8304878048780487, 'f1': 0.8301907253497738, 'roc_auc': 0.8302708859449417}, tiempo_total=0.13segundos

C=1, penalty=l2, solver=liblinear --> {'cohen_kappa': 0.6676281413261094, 'accuracy': 0.8341463414634145, 'precision': 0.837022423015782, 'recall': 0.8341463414634145, 'f1': 0.83386993013785, 'roc_auc': 0.8340446954687513}, tiempo_total=0.11segundos

C=1, penalty=l2, solver=saga --> {'cohen_kappa': 0.6602248332598553, 'accuracy': 0.8304878048780487, 'precision': 0.8333587040443169, 'recall': 0.8304878048780487, 'f1': 0.8301907253497738, 'roc_auc': 0.8302708859449417}, tiempo_total=0.12segundos

C=1, penalty=l2, solver=newton-cg --> {'cohen_kappa': 0.6602248332598553, 'accuracy': 0.8304878048780487, 'precision': 0.8333587040443169, 'recall': 0.8304878048780487, 'f1': 0.8301907253497738, 'roc_auc': 0.8302708859449417}, tiempo_total=0.12segundos

C=1, penalty=elasticnet, solver=saga --> {'cohen_kappa': 0.6602248332598553, 'accuracy': 0.8304878048780487, 'precision': 0.8333587040443169, 'recall': 0.8304878048780487, 'f1': 0.8301907253497738, 'roc_auc': 0.8302708859449417}, tiempo_total=0.13segundos

C=1, penalty=None, solver=lbfgs --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=1, penalty=None, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

